epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1467.4,1.13385,0.89747,1.28857,0.75456,0.64717,0.72623,0.4151,1.53578,1.18578,1.50934,0.0011882,0.0011882,0.0011882
43,1502.16,1.15026,0.8784,1.26725,0.76053,0.61014,0.71042,0.40842,1.54936,1.16351,1.50324,0.0011684,0.0011684,0.0011684
44,1537.49,1.12301,0.87154,1.26418,0.74782,0.66862,0.72393,0.39096,1.56641,1.2355,1.51638,0.0011486,0.0011486,0.0011486
45,1572.23,1.1352,0.88195,1.2627,0.72171,0.67743,0.72303,0.37567,1.59876,1.17891,1.53124,0.0011288,0.0011288,0.0011288
46,1606.92,1.11637,0.8627,1.26148,0.68606,0.66277,0.72386,0.3735,1.59171,1.271,1.54404,0.001109,0.001109,0.001109
47,1642.25,1.12581,0.85545,1.26215,0.691,0.64717,0.71491,0.38839,1.57381,1.22587,1.51891,0.0010892,0.0010892,0.0010892
48,1677.14,1.06954,0.81759,1.23037,0.7773,0.59194,0.72573,0.38289,1.59769,1.2378,1.52691,0.0010694,0.0010694,0.0010694
49,1711.88,1.11019,0.86003,1.24405,0.72044,0.60234,0.69381,0.38535,1.57283,1.28114,1.51201,0.0010496,0.0010496,0.0010496
50,1747.27,1.05572,0.81509,1.22249,0.75964,0.6407,0.72297,0.40239,1.57812,1.21842,1.53212,0.0010298,0.0010298,0.0010298
51,1782,1.09891,0.85243,1.24666,0.77877,0.64717,0.74959,0.40673,1.54658,1.16054,1.50496,0.00101,0.00101,0.00101
52,1816.65,1.05431,0.80205,1.21742,0.73495,0.6162,0.7073,0.38879,1.59414,1.18351,1.52992,0.0009902,0.0009902,0.0009902
53,1851.63,1.06951,0.81731,1.21842,0.7326,0.62768,0.69327,0.39322,1.5345,1.25412,1.50906,0.0009704,0.0009704,0.0009704
54,1886.61,1.0682,0.81047,1.22415,0.72273,0.64717,0.69974,0.3719,1.56711,1.28334,1.50821,0.0009506,0.0009506,0.0009506
55,1921.24,1.05368,0.77952,1.21624,0.79939,0.66801,0.75804,0.41877,1.52716,1.13849,1.49634,0.0009308,0.0009308,0.0009308
56,1955.93,1.05457,0.7856,1.20948,0.75719,0.64133,0.72496,0.40093,1.5406,1.18742,1.4943,0.000911,0.000911,0.000911
57,1991.27,1.04712,0.78273,1.20659,0.74085,0.68616,0.74346,0.42408,1.52929,1.13347,1.47145,0.0008912,0.0008912,0.0008912
